Date,office_population
0,0.0
1,0.0
2,0.038461538461538464
3,0.40384615384615385
4,1.8269230769230769
5,5.538461538461538
6,13.134615384615385
7,27.576923076923077
8,51.09615384615385
9,80.3076923076923
10,111.78846153846153
11,139.46153846153845
12,158.3653846153846
13,167.46153846153845
14,166.90384615384616
15,156.65384615384616
16,135.82692307692307
17,108.36538461538461
18,78.07692307692308
19,51.0
20,31.173076923076923
21,18.596153846153847
22,11.75
23,7.596153846153846
24,0.0
25,0.057692307692307696
26,0.11538461538461539
27,0.40384615384615385
28,1.6730769230769231
29,5.134615384615385
30,13.538461538461538
31,30.096153846153847
32,56.13461538461539
33,88.82692307692308
34,123.63461538461539
35,152.5
36,172.94230769230768
37,184.3846153846154
38,184.17307692307693
39,171.84615384615384
40,148.32692307692307
41,117.40384615384616
42,84.0576923076923
43,56.03846153846154
44,34.92307692307692
45,20.365384615384617
46,12.384615384615385
47,8.25
48,0.0
49,0.0
50,0.07692307692307693
51,0.5
52,1.7307692307692308
53,5.346153846153846
54,13.384615384615385
55,30.173076923076923
56,55.48076923076923
57,88.76923076923077
58,124.42307692307692
59,154.15384615384616
60,175.0
61,185.78846153846155
62,185.75
63,173.73076923076923
64,151.07692307692307
65,119.61538461538461
66,85.51923076923077
67,56.44230769230769
68,34.94230769230769
69,20.865384615384617
70,12.98076923076923
71,8.25
72,0.0
73,0.019230769230769232
74,0.1346153846153846
75,0.5961538461538461
76,1.8846153846153846
77,5.480769230769231
78,13.461538461538462
79,30.346153846153847
80,55.75
81,88.8076923076923
82,124.36538461538461
83,153.96153846153845
84,175.84615384615384
85,186.0
86,185.80769230769232
87,173.73076923076923
88,151.28846153846155
89,120.3076923076923
90,86.0
91,57.25
92,34.67307692307692
93,21.23076923076923
94,13.51923076923077
95,8.75
96,0.0
97,0.0
98,0.07547169811320754
99,0.5283018867924528
100,1.830188679245283
101,5.490566037735849
102,13.60377358490566
103,28.62264150943396
104,53.9622641509434
105,86.01886792452831
106,121.0377358490566
107,151.32075471698113
108,172.50943396226415
109,182.73584905660377
110,182.58490566037736
111,171.9245283018868
112,149.0566037735849
113,118.79245283018868
114,84.9622641509434
115,55.075471698113205
116,33.16981132075472
117,19.471698113207548
118,11.60377358490566
119,7.320754716981132
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
